Formula,MP_ID,Eg_bulk_eV,CBM_bulk_eV,VBM_bulk_eV,Formation_Energy_eV,Dielectric_Static,Dielectric_Source,Eg_nano_3nm_eV
Ac2O3,mp-11107,3.5219000000000005,8.112,4.5901,-3.737668289999997,19.1396,Penn_Model_Calculated,3.7382422550586103
Ac2S3,mp-32800,2.2729,7.0869,4.814,-2.4930635934375003,44.5534,Penn_Model_Calculated,2.5147909016044863
AcAlO3,mp-1183115,4.1024,10.906,6.8036,-3.690019421499996,14.3692,Penn_Model_Calculated,4.3038725844253385
AcBr3,mp-27972,4.1034,5.1408,1.0374,-2.494519163125,14.3627,Penn_Model_Calculated,4.304845584865935
AcBrO,mp-30274,4.2407,7.4413,3.2006,-3.2181859641666706,13.5114,Penn_Model_Calculated,4.438384975769732
AcCl3,mp-27971,5.0865,6.1773,1.0908,-2.940648830625,9.6965,Penn_Model_Calculated,5.259222951302012
AcCrO3,mp-866101,2.0031000000000008,8.2567,6.2536,-3.1389721295,57.076,Penn_Model_Calculated,2.249212453443652
AcF3,mp-985278,6.0693,8.9504,2.8811,-4.413080099375,7.1081,Penn_Model_Calculated,6.209828957234205
AcFeO3,mp-861502,1.0084,7.506,6.4976,-2.771539465500001,150.0,Penn_Model_Calculated,1.263816997726819
AcGaO3,mp-1183053,2.895900000000001,8.1819,5.286,-3.0632526170000007,27.8297,Penn_Model_Calculated,3.126228315203024
AcH3,mp-861605,0.6406999999999998,6.9559,6.3152,-0.6718020309374992,150.0,Penn_Model_Calculated,0.896116997726819
AcI3,mp-861867,2.5886,2.274,-0.3146,-1.8010032031250018,34.5778,Penn_Model_Calculated,2.824939881298516
AcOF,mp-36526,4.2561,7.8655,3.6094,-4.159174074166669,14.536975816666661,MP_DFPT_API,4.458261133189692
AcTlTe2,mp-865028,0.6217000000000006,6.7994,6.1777,-1.2514026447916695,150.0,Penn_Model_Calculated,0.8771169977268197
Ag(BCl)6,mp-567334,2.6955,3.0902,0.3947,-0.9528340284935891,31.9673,Penn_Model_Calculated,2.9298153132332176
Ag15P4S16Cl3,mp-560328,1.2258,3.458,2.2322,-0.48195322627819487,150.0,Penn_Model_Calculated,1.481216997726819
Ag2B8O13,mp-554873,3.2651,3.7178,0.4527,-2.5106557157246367,22.1052,Penn_Model_Calculated,3.4874511867438516
Ag2Ge(S2O7)3,mp-1196546,2.8072,2.9713,0.1641,-1.5999475659999998,29.552,Penn_Model_Calculated,3.03932356711581
Ag2GePbS4,mp-861942,1.3699000000000003,4.99,3.6201,-0.5503585122916661,29.23312854,MP_DFPT_API,1.601707145987137
Ag2H4(SO4)3,mp-860963,2.8882,3.3807,0.4925,-1.449344143492063,27.9729,Penn_Model_Calculated,3.118686006962826
Ag2HgI4,mp-23485,1.2219000000000002,2.1173,0.8954,-0.5123625465476189,9.070052743333333,MP_DFPT_API,1.3885167418557236
Ag2HgSI2,mp-556866,1.2278,2.4716,1.2438,-0.44160478972222234,11.688167266666662,MP_DFPT_API,1.4155878898771574
Ag2Mo2O7,mp-27966,1.9053,3.2517,1.3464,-1.5074706507575748,62.9806,Penn_Model_Calculated,2.1528205815221515
Ag2P2H2O7,mp-1195759,2.150562922126691,3.52585334037113,1.3752904182444392,-1.815974185778367,49.6495,Penn_Model_Calculated,2.3944287651122407
Ag2P2PdO7,mp-1190325,1.1667999999999998,2.5732,1.4064,-1.7857666810515873,150.0,Penn_Model_Calculated,1.4222169977268189
Ag2PHO4,mp-707138,1.3274000000000001,2.6615,1.3341,-1.5734414415699398,128.6965,Penn_Model_Calculated,1.5818709676048333
Ag2PSe3,mp-13956,0.8588,3.5628,2.704,-0.3363640391679065,14.884344336666665,MP_DFPT_API,1.0623373874653046
Ag2PdCl4,mp-28557,0.9506000000000001,1.6909,0.7403,-0.8042831183333325,19.693360249999543,MP_DFPT_API,1.1682017055340592
Ag2S,mp-1537871,1.6081000000000003,6.538,4.9299,-0.11837386593749954,88.0074,Penn_Model_Calculated,1.8594912977905713
Ag2S2O7,mp-1192057,2.3015999999999996,3.336,1.0344,-1.4055423298484848,43.474,Penn_Model_Calculated,2.5430131700142815
Ag2SO4,mp-5625,1.2289,2.5708,1.3419,-1.256612797261903,34.75338981219033,MP_DFPT_API,1.4653651425608496
Ag2SeO3,mp-16913,1.7022,3.0669,1.3647,-0.8250872030295131,78.6536,Penn_Model_Calculated,1.9524328878302548
Ag2SeO3,mp-2748718,2.0934999999999997,5.8664,3.7729,-0.5705825800520827,52.3377,Penn_Model_Calculated,2.3382526805149038
Ag2Sn(S2O7)3,mp-1197599,2.4602000000000004,2.7844,0.3242,-1.6166738946666674,38.1742,Penn_Model_Calculated,2.6988755577699273
Ag2TeS3,mp-29163,1.3064999999999998,4.3062,2.9997,-0.07894978057291742,13.06676703666667,MP_DFPT_API,1.5020260129849214
Ag3AsS3,mp-561620,1.6277999999999997,4.0942,2.4664,-0.16004723620535394,85.9142,Penn_Model_Calculated,1.8789539754711713
Ag3AsSe3,mp-662599,0.8906000000000001,3.2479,2.3573,-0.30236748243303524,150.0,Penn_Model_Calculated,1.146016997726819
Ag3Ge5P6,mp-17862,0.5335999999999999,5.4356,4.902,-0.041898267346937246,21.0713526066338,MP_DFPT_API,0.7540484374333005
Ag3P11,mp-27821,0.8305999999999996,5.4982,4.6676,-0.04616663662414818,12.224839893327342,MP_DFPT_API,1.0216077117458107
Ag3PS4,mp-12459,0.9998,3.7271,2.7273,-0.25612480990327313,10.112646456666665,MP_DFPT_API,1.1761610826495408
Ag3SbS3,mp-555269,1.5142000000000002,4.6344,3.1202,-0.20678933263392554,99.1332,Penn_Model_Calculated,1.7666845111540501
Ag4Mo2Se3O16,mp-558550,1.6142999999999998,2.6847,1.0704,-1.227226647047916,87.3404,Penn_Model_Calculated,1.8656169096906283
Ag5BiO4,mp-28812,1.459,3.5605,2.1015,-0.658539459833331,106.6993,Penn_Model_Calculated,1.7120977128972268
Ag5Hg4P8Cl5,mp-568540,0.9356999999999998,3.4368,2.5011,-0.38926681752164555,94.40521626999998,MP_DFPT_API,1.1877514264394422
Ag5P(S2Cl)2,mp-559847,1.2689,3.3314,2.0625,-0.5435259819146813,61.459754556666674,MP_DFPT_API,1.516083760286318
Ag8GeS6,mp-9770,0.6102000000000003,3.0792,2.469,-0.3272566030555529,150.0,Penn_Model_Calculated,0.8656169977268194
Ag8SnS6,mp-15645,0.5350999999999999,3.2342,2.6991,-0.20496340979166613,150.0,Penn_Model_Calculated,0.790516997726819
AgAs(S8F3)2,mp-556837,2.7366,2.7828,0.0462,-1.086225823923611,31.0441,Penn_Model_Calculated,2.9701178277895606
AgAs3H2O9,mp-985701,0.8362,2.3967,1.5605,-1.4163172241111122,150.0,Penn_Model_Calculated,1.091616997726819
AgAsF6,mp-37153,1.7393999999999998,-0.8313,-2.5707,-2.2011483698958334,4.177139149996149,MP_DFPT_API,1.7953057375711476
AgAsPbS3,mp-22665,1.3314000000000004,4.8604,3.529,-0.49983294361111,127.9303,Penn_Model_Calculated,1.5858310730160783
AgAu(IO3)4,mp-1229194,1.2572999999999999,3.6746,2.4173,-0.7131055570370369,143.3327,Penn_Model_Calculated,1.5124511545883919
AgAuCl4,mp-570340,0.8406,0.5406,-0.3,-0.7744889177777777,150.0,Penn_Model_Calculated,1.096016997726819
AgAuF4,mp-16060,1.0268000000000002,0.2268,-0.8,-1.4019354844444454,6.916462983333335,MP_DFPT_API,1.163987362216799
AgAuO2,mp-996983,0.6175000000000002,2.3925,1.775,-0.4695447591666664,14.243665006666669,MP_DFPT_API,0.8184467821482845
AgB11H6CBr6,mp-703539,3.2973,2.4931,-0.8042,-0.447013033799999,21.695,Penn_Model_Calculated,3.5189179342439134
AgBF4,mp-12021,3.157,1.8587,-1.2983,-2.575888896388889,23.5753,Penn_Model_Calculated,3.3817694701756196
AgBH2OF4,mp-24058,3.044,1.6468,-1.3972,-2.162864122314816,25.2825,Penn_Model_Calculated,3.271224852683523
AgBi(IO3)4,mp-1195262,2.4068,5.8323,3.4255,-0.9253991323148149,39.8421,Penn_Model_Calculated,2.6464156486560664
AgBi(PS3)2,mp-556434,1.1837999999999997,4.398,3.2142,-0.3388252107827384,21.052495523333338,MP_DFPT_API,1.4042119964136308
AgBi(PSe3)2,mp-569126,1.3072,3.5645,2.2573,-0.46588106450148814,132.6735,Penn_Model_Calculated,1.5618706393749548
AgBi3S5,mp-23474,0.5262000000000002,4.8986,4.3724,-0.3722022776736114,211.12634425666667,MP_DFPT_API,0.7832716499819203
AgBiSCl2,mp-556094,1.0752000000000002,3.9597,2.8845,-0.9455957438333339,113.99861914,MP_DFPT_API,1.3288121510742434
AgBr,mp-23231,0.7303999999999999,1.9857,1.2553,-0.6596210383333325,12.692159136763971,MP_DFPT_API,0.9239896566793429
AgCl,mp-22922,0.9522000000000002,2.3624,1.4102,-0.728691575833333,11.41491176275674,MP_DFPT_API,1.1382321428536795
AgClO4,mp-22993,2.613,2.9791,0.3661,-0.41406829361111025,7.870760899999998,MP_DFPT_API,2.7652151550226987
AgH5S2O9,mp-24072,3.5225000000000004,3.4397,-0.0828,-1.4486150450245106,19.1335,Penn_Model_Calculated,3.738827975507459
AgHg2AsO4,mp-558188,0.7441000000000001,1.3665,0.6224,-1.0544510055208351,150.0,Penn_Model_Calculated,0.9995169977268191
AgHg2NO5,mp-560443,0.5517,1.0166,0.4649,-0.6809799182407422,150.0,Penn_Model_Calculated,0.807116997726819
AgHg2PO4,mp-556798,1.1892000000000003,2.2728,1.0836,-1.5083162942261916,150.0,Penn_Model_Calculated,1.4446169977268193
AgHgAsS3,mp-6215,1.1993,3.478,2.2787,-0.36442808402777277,21.412280273333337,MP_DFPT_API,1.420396204570691
AgHgSBr,mp-560067,1.2696,1.6715,0.4019,-0.5442998554166674,13.926265816666666,MP_DFPT_API,1.469175075062923
AgHgSI,mp-23140,1.3679000000000001,2.5333,1.1654,-0.4264321279166676,121.2469,Penn_Model_Calculated,1.621961699807579
AgI,mp-580941,1.3759000000000001,2.5295,1.1536,-0.4677598983333322,7.119769473334294,MP_DFPT_API,1.5166266286141876
AgI3O8,mp-1194592,2.293848415139808,4.7381481276786115,2.4442997125388035,-0.7530212759722227,43.7615,Penn_Model_Calculated,2.5353911323591296
AgIO3,mp-27384,2.4375,4.966,2.5285,-0.7130686653333328,38.8698,Penn_Model_Calculated,2.6765774312263493
AgMo6Cl13,mp-1214988,2.6357999999999997,5.1038,2.468,-1.2827291965833332,33.386,Penn_Model_Calculated,2.8712548601812324
AgMoPO6,mp-14029,2.0962,3.435,1.3388,-1.9811057354232804,52.2056,Penn_Model_Calculated,2.3409112344701124
AgNO3,mp-552185,1.8635,1.9786,0.1151,-0.6806635453333335,10.723407676857569,MP_DFPT_API,2.0446892888785495
AgP(OF)2,mp-1194585,1.9686,1.6414,-0.3272,-2.261493737718254,59.0587,Penn_Model_Calculated,2.2152166868251073
AgPF6,mp-34418,3.2361,0.8544,-2.3817,-2.53426353578869,4.3637792466732535,MP_DFPT_API,3.3007833264309214
AgPO3,mp-18702,2.0246000000000004,3.3542,1.3296,-1.958048157761913,55.8914,Penn_Model_Calculated,2.270394117842945
AgPbF6,mp-1206101,0.7338,0.3632,-0.3706,-1.9283080564583317,150.0,Penn_Model_Calculated,0.9892169977268191
AgRh(SO4)2,mp-1214944,1.1739000000000002,2.9803,1.8064,-1.4627008163888877,150.0,Penn_Model_Calculated,1.4293169977268192
AgSO3F,mp-1229086,2.4337,2.7333,0.2996,-1.5912135315277773,38.9882,Penn_Model_Calculated,2.672844407072725
AgSb(S8F3)2,mp-559602,2.7422,2.8798,0.1376,-1.14008699361111,30.9216,Penn_Model_Calculated,2.975608430375442
