Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,0.8,-3.0,-3.0,-6633019.517487683,-6684418.798949778,-6.633019517487684e-08,-6.684418798949778e-08
Candidate_0,4.0,0.8,-2.95,-2.95,-5301285.046447834,-5341181.453992258,-5.301285046447834e-08,-5.341181453992258e-08
Candidate_0,4.0,0.8,-2.9,-2.9,-4206768.248360312,-4237664.903240442,-4.206768248360312e-08,-4.2376649032404423e-08
Candidate_0,4.0,0.8,-2.85,-2.85,-3313253.5597652113,-3337124.141708199,-3.313253559765211e-08,-3.337124141708199e-08
Candidate_0,4.0,0.8,-2.8,-2.8,-2588983.4967088713,-2607381.0531594893,-2.5889834967088713e-08,-2.607381053159489e-08
Candidate_0,4.0,0.8,-2.75,-2.75,-2006272.8383731667,-2020416.8720135225,-2.006272838373167e-08,-2.0204168720135226e-08
Candidate_0,4.0,0.8,-2.7,-2.7,-1541135.788055242,-1551981.8336610051,-1.541135788055242e-08,-1.551981833661005e-08
Candidate_0,4.0,0.8,-2.65,-2.65,-1172927.735778745,-1181222.8448523763,-1.172927735778745e-08,-1.1812228448523763e-08
Candidate_0,4.0,0.8,-2.6,-2.6,-884003.1157247487,-890330.0195509184,-8.840031157247488e-09,-8.903300195509184e-09
Candidate_0,4.0,0.8,-2.55,-2.55,-659390.6966466082,-664202.8897598642,-6.593906966466082e-09,-6.642028897598642e-09
Candidate_0,4.0,0.8,-2.5,-2.5,-486487.46562363696,-490137.0208998618,-4.864874656236369e-09,-4.901370208998618e-09
Candidate_0,4.0,0.8,-2.45,-2.45,-354772.0667195788,-357531.64281971334,-3.547720667195788e-09,-3.5753164281971334e-09
Candidate_0,4.0,0.8,-2.4,-2.4,-255538.53885506853,-257618.75604456905,-2.5553853885506854e-09,-2.5761875604456906e-09
Candidate_0,4.0,0.8,-2.35,-2.35,-181650.86473714313,-183213.99420598827,-1.8165086473714313e-09,-1.8321399420598828e-09
Candidate_0,4.0,0.8,-2.3,-2.3,-127318.59906312823,-128489.32392002281,-1.2731859906312823e-09,-1.284893239200228e-09
Candidate_0,4.0,0.8,-2.25,-2.25,-87893.59429655013,-88767.44929962633,-8.789359429655013e-10,-8.876744929962633e-10
Candidate_0,4.0,0.8,-2.2,-2.2,-59687.59173012862,-60337.56688694444,-5.968759173012862e-10,-6.033756688694444e-10
Candidate_0,4.0,0.8,-2.15,-2.15,-39810.20035693558,-40291.8953193922,-3.981020035693558e-10,-4.02918953193922e-10
Candidate_0,4.0,0.8,-2.1,-2.1,-26026.551496107433,-26382.188720965485,-2.6026551496107433e-10,-2.6382188720965486e-10
Candidate_0,4.0,0.8,-2.05,-2.05,-16633.693979682634,-16895.235268298846,-1.6633693979682633e-10,-1.6895235268298846e-10
Candidate_0,4.0,0.8,-2.0,-2.0,-10354.570730752708,-10546.131019704233,-1.0354570730752708e-10,-1.0546131019704233e-10
Candidate_0,4.0,0.8,-1.95,-1.95,-6248.152221321463,-6387.863938044298,-6.248152221321463e-11,-6.387863938044298e-11
Candidate_0,4.0,0.8,-1.9,-1.9,-3633.9238702334774,-3735.3728171652774,-3.633923870233477e-11,-3.735372817165277e-11
Candidate_0,4.0,0.8,-1.85,-1.85,-2028.4426723266292,-2101.770653232551,-2.0284426723266293e-11,-2.101770653232551e-11
Candidate_0,4.0,0.8,-1.8,-1.8,-1091.6400275488281,-1144.388978587119,-1.091640027548828e-11,-1.144388978587119e-11
Candidate_0,4.0,0.8,-1.75,-1.75,-582.4999803658372,-620.2561622047795,-5.8249998036583725e-12,-6.202561622047795e-12
Candidate_0,4.0,0.8,-1.7,-1.7,-327.86848747200224,-354.75248213207857,-3.2786848747200223e-12,-3.5475248213207856e-12
Candidate_0,4.0,0.8,-1.65,-1.65,-207.5891965958082,-226.62734731383472,-2.075891965958082e-12,-2.266273473138347e-12
Candidate_0,4.0,0.8,-1.6,-1.6,-148.39174574177042,-161.79672774627224,-1.4839174574177041e-12,-1.6179672774627223e-12
Candidate_0,4.0,0.8,-1.55,-1.55,-113.85638051462031,-123.23835164273545,-1.1385638051462031e-12,-1.2323835164273544e-12
Candidate_0,4.0,0.8,-1.5,-1.5,-89.52024200330568,-96.04513914795963,-8.952024200330568e-13,-9.604513914795962e-13
