Material_Pair,Core_Formula,Shell_Formula,Master_Consensus_Score,Master_Confidence_Index_%,Score_Delta,DualTree_Score,MultiParadigm_Score,DualTree_Agreement_%,MultiParadigm_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Strain_Decay_Factor,Synthesizability_Index,Synthesis_Regime,Confinement_Gain_vs_Lit,Synth_Gain_vs_Lit,Dielectric_Gain_vs_Lit,Composite_Benchmark_Index,Benchmark_Tier
Ba4P2O / Ba2B11H7O22,Ba4P2O,Ba2B11H7O22,0.6242585669985634,77.5041754573304,0.0284347149007532,0.6100412095481867,0.63847592444894,71.38905547159942,88.15591108082991,1.2965169977268192,5.6652,4.3687000000000005,18.725422882466763,-1.062756512354024,-0.1792066289742944,3.996,3.737,6.481481481481478,0.6756165283635612,0.5484182214207161,Requires Buffer Layer (High Dislocation Risk),1.214,0.81,9.061,3.0342,Tier 2: Competitive Alternative
Ba3TaAs3O / Ba2B11H7O22,Ba3TaAs3O,Ba2B11H7O22,0.6319224505857582,78.67458730295698,0.0263761197349523,0.6187343907182821,0.6451105104532344,72.80500757333826,88.80686102943174,1.3373169977268191,5.6652,4.3279,18.725422882466763,-1.0322315168710312,-0.0345433119988909,4.0931,3.737,8.70000732940802,0.5907570414782812,0.5497564060021389,Requires Buffer Layer (High Dislocation Risk),1.202,0.812,9.061,3.0304,Tier 2: Competitive Alternative
Ba3NbAs3O / Ba2B11H7O22,Ba3NbAs3O,Ba2B11H7O22,0.632344115864142,77.29570761884213,0.0263896022652938,0.619149314731495,0.6455389169967889,70.62278739845263,88.15881106985795,1.323916997726819,5.6652,4.3413,18.725422882466763,-1.0568146834126977,-0.0050445719024255,4.0931,3.737,8.70000732940802,0.5907570414782812,0.543027311572884,Requires Buffer Layer (High Dislocation Risk),1.206,0.803,9.061,3.0284,Tier 2: Competitive Alternative
AgAs3H2O9 / Al2H16S3O20,AgAs3H2O9,Al2H16S3O20,0.5882678716029096,81.66831308666198,0.0179142953035746,0.5793107239511223,0.597225019254697,75.91203824132609,90.40402296619683,1.091616997726819,5.6055,4.5139,18.38077615890793,-0.316780839791327,0.1069363521566716,4.366,4.348,0.4122766834631194,0.9753657605072612,0.56687941710782,Coherent Epitaxy (Low Strain Risk),1.254,0.838,8.894,3.0182,Tier 1: Next-Gen Breakthrough
AgHg2PO4 / B5H4NO8,AgHg2PO4,B5H4NO8,0.6033598780141504,80.18761806675563,0.0268464944320998,0.5899366307981004,0.6167831252302003,75.41223614218558,89.38728953996424,1.4446169977268193,5.7298,4.2852,19.100007640003057,-0.6631778820701055,0.0792495099411928,3.9451,3.4533,12.466097183848316,0.4703873006767354,0.403635888130412,Requires Buffer Layer (High Dislocation Risk),1.19,0.597,9.242,2.9954,Tier 2: Competitive Alternative
Ag2P2PdO7 / B5H4NO8,Ag2P2PdO7,B5H4NO8,0.5973365404288324,81.68283799852755,0.0226664072665673,0.5860033367955487,0.608669744062116,76.99789235344333,90.15657487422006,1.4222169977268189,5.7298,4.3076,19.100007640003057,-0.38572749524471,-0.0658371250812517,4.0423,3.4533,14.570912599262794,0.4141445496903568,0.371734702266003,Requires Buffer Layer (High Dislocation Risk),1.197,0.549,9.242,2.9814,Tier 2: Competitive Alternative
Ba3NbAs3O / B5H4NO8,Ba3NbAs3O,B5H4NO8,0.5943319735652297,78.76442614705627,0.0233188447115922,0.5826725512094335,0.6059913959210258,72.47053623908278,88.81941129512072,1.323916997726819,5.7298,4.4059,19.100007640003057,-0.6577473631712976,-0.2620803922013663,4.0931,3.4533,15.631184188023742,0.3884127782554097,0.338820101193997,Requires Buffer Layer (High Dislocation Risk),1.224,0.501,9.242,2.9753,Tier 2: Competitive Alternative
Ba4GeAs4 / Al2H16S3O20,Ba4GeAs4,Al2H16S3O20,0.6112786717328879,79.24348350230943,0.0307880571991161,0.5958846431333298,0.6266727003324459,74.7350249707246,88.78645057632058,1.078816997726819,5.6055,4.5267,18.38077615890793,-0.7630398030691051,-0.1779000154638036,3.9672,4.348,9.598709417221208,0.559494310746615,0.4804507699706177,Requires Buffer Layer (High Dislocation Risk),1.257,0.71,8.894,2.975,Tier 2: Competitive Alternative
Ba3TaAs3O / Al2H16S3O20,Ba3TaAs3O,Al2H16S3O20,0.6173358343348948,79.85929075003656,0.0248586203509595,0.604906524159415,0.6297651445103746,74.42331425377837,89.36686513288335,1.3373169977268191,5.6055,4.2682,18.38077615890793,-0.194768084235773,-0.1261421676584977,4.0931,4.348,6.22755368791381,0.6860759122521889,0.5342037834651177,Requires Buffer Layer (High Dislocation Risk),1.186,0.789,8.894,2.974,Tier 2: Competitive Alternative
Ba3NbAs3O / Al2H16S3O20,Ba3NbAs3O,Al2H16S3O20,0.6172869189407602,79.25316947004423,0.0247983961397357,0.6048877208708923,0.629686117010628,73.44592930511735,89.09106644289281,1.323916997726819,5.6055,4.2816,18.38077615890793,-0.2193512507774395,-0.0959454409566517,4.0931,4.348,6.22755368791381,0.6860759122521889,0.5309793064040339,Requires Buffer Layer (High Dislocation Risk),1.189,0.785,8.894,2.9739,Tier 2: Competitive Alternative
Ba(GdSe2)2 / Al(PO3)3,Ba(GdSe2)2,Al(PO3)3,0.5879452945430763,81.70660506045601,0.0205050467065297,0.5776927711898114,0.5981978178963412,76.5055914054551,90.32856079864632,1.481060739031996,5.8176,4.3366,19.612714268903385,-0.5869541241002794,-0.1141447216713554,5.772,3.7814,34.48717948717949,0.1241239818865435,0.2291662973458038,Requires Buffer Layer (High Dislocation Risk),1.205,0.339,9.49,2.9729,Tier 2: Competitive Alternative
Ba2InCuO4 / AlPO4,Ba2InCuO4,AlPO4,0.6393989378164269,74.991155832823,0.0309027336773097,0.623947570977772,0.6548503046550818,67.81399719860394,86.9509751913861,1.3662169977268188,5.6178,4.2516,18.45154623957488,-0.901922882162698,-0.2448019569103396,4.5464,4.0145,11.6993665317614,0.4927212527085814,0.5093722775401933,Requires Buffer Layer (High Dislocation Risk),1.181,0.753,8.928,2.9679,Tier 2: Competitive Alternative
Ag2P2PdO7 / Ba2B11H7O22,Ag2P2PdO7,Ba2B11H7O22,0.5994105446834552,79.57928614796786,0.0215939712139046,0.5886135590765029,0.6102075302904075,73.36662238819298,89.30466909332331,1.4222169977268189,5.6652,4.243,18.725422882466763,-0.7847948154861102,0.2001414093801555,4.0423,3.737,7.552630927937064,0.633222022974553,0.4428299257257992,Requires Buffer Layer (High Dislocation Risk),1.179,0.654,9.061,2.9657,Tier 2: Competitive Alternative
