Core_Formula,Shell_Formula,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,dEc_eV,dEv_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Effective_System_Gap_eV,Cluster
Ba2UFeO6,Ba3Al2F12,0.5156000000000001,7.847399999999999,1.2448999999999997,6.0869,7.331799999999999,1.0,-1.2298188004711024,0.204521151239358,7.847399999999999,1
Ba3InAs3,Ba3Al2F12,0.5167000000000002,7.847399999999999,3.8707,3.46,7.3307,1.0,-1.2298188004711024,1.118699098641879,7.847399999999999,1
Ba2AsAu,Ba3Al2F12,0.5211000000000001,7.847399999999999,3.8029,3.5234,7.3263,1.0,-1.2298188004711024,1.0793264802956006,7.847399999999999,1
Ba2InSbO6,Ba3Al2F12,0.5239999999999996,7.847399999999999,2.7145,4.6089,7.3234,1.0,-1.2298188004711024,0.5889690405586928,7.847399999999999,1
Ba(GeP)2,Ba3Al2F12,0.5244,7.847399999999999,2.4241,4.898899999999999,7.322999999999999,1.0,-1.2298188004711024,0.4948252679529552,7.847399999999999,1
Ba14AlSb11,Ba3Al2F12,0.5247999999999999,7.847399999999999,3.2763,4.0463,7.322599999999999,1.0,-1.2298188004711024,0.809702491238294,7.847399999999999,1
AgBi3S5,Ba3Al2F12,0.5262000000000002,7.847399999999999,2.2539,5.0673,7.321199999999999,1.0,-1.2298188004711024,0.4447929972977724,7.847399999999999,1
Ba(GaTe2)2,Ba3Al2F12,0.5273999999999996,7.847399999999999,3.9247,3.3953,7.32,1.0,-1.2298188004711024,1.1559210803401525,7.847399999999999,1
Ba3NaRuO6,Ba3Al2F12,0.5312000000000001,7.847399999999999,3.9176,3.3986,7.3162,1.0,-1.2298188004711024,1.152709600214912,7.847399999999999,1
Ag3Ge5P6,Ba3Al2F12,0.5335999999999999,7.847399999999999,1.7169,5.5969,7.3138,1.0,-1.2298188004711024,0.3067590439780872,7.847399999999999,1
Ag8SnS6,Ba3Al2F12,0.5350999999999999,7.847399999999999,3.9183,3.394,7.3123,1.0,-1.2298188004711024,1.1544781513028428,7.847399999999999,1
AlFePO5,Ba3Al2F12,0.54,7.847399999999999,4.2525,3.0549,7.307399999999999,1.0,-1.2298188004711024,1.392025469892478,7.847399999999999,1
Ba2U2O7,Ba3Al2F12,0.5402000000000005,7.847399999999999,1.4387999999999996,5.868399999999999,7.307199999999999,1.0,-1.2298188004711024,0.2451775193958285,7.847399999999999,1
As(IF3)2,Ba3Al2F12,0.5409,7.847399999999999,6.6698,0.6366999999999999,7.3065,1.0,-1.2298188004711024,10.475560742012345,7.847399999999999,1
Ba2CrO4,Ba3Al2F12,0.5412000000000003,7.847399999999999,2.8145999999999995,4.4916,7.3062,1.0,-1.2298188004711024,0.6266362484112011,7.847399999999999,1
AlCuSnSe4,Ba3Al2F12,0.5512999999999999,7.847399999999999,3.3183,3.9778,7.2961,1.0,-1.2298188004711024,0.8342046271294115,7.847399999999999,1
AgHg2NO5,Ba3Al2F12,0.5517,7.847399999999999,6.1359,1.1598,7.295699999999999,1.0,-1.2298188004711024,5.2904765558919165,7.847399999999999,1
Ba2GeAs2,Ba3Al2F12,0.5526,7.847399999999999,3.7297,3.5651,7.2948,1.0,-1.2298188004711024,1.0461695194610194,7.847399999999999,1
Ba4Li(BiO4)3,Ba3Al2F12,0.5661,7.847399999999999,4.066,3.2153,7.2813,1.0,-1.2298188004711024,1.264578339632899,7.847399999999999,1
Ba2GeP2,Ba3Al2F12,0.5682,7.847399999999999,3.3101,3.9691,7.279199999999999,1.0,-1.2298188004711024,0.8339671880357793,7.847399999999999,1
Ba4Bi2O,Ba3Al2F12,0.5712999999999999,7.847399999999999,3.8431,3.4330000000000003,7.2761,1.0,-1.2298188004711024,1.1194578737378753,7.847399999999999,1
Ba2AlCu2F11,Ba3Al2F12,0.5741999999999999,7.847399999999999,5.9947,1.2785,7.2732,1.0,-1.2298188004711024,4.688850458466595,7.847399999999999,1
Ba2TaCrO6,Ba3Al2F12,0.5778000000000008,7.847399999999999,2.1461999999999994,5.123399999999999,7.269599999999999,1.0,-1.2298188004711024,0.4189014289531504,7.847399999999999,1
Ba3GaP3,Ba3Al2F12,0.601,7.847399999999999,3.8132,3.4332000000000003,7.246399999999999,1.0,-1.2298188004711024,1.110683586542122,7.847399999999999,1
Ag8GeS6,Ba3Al2F12,0.6102000000000003,7.847399999999999,4.0733,3.1639,7.2372,1.0,-1.2298188004711024,1.2874296635703837,7.847399999999999,1
AgAuO2,Ba3Al2F12,0.6175000000000002,7.847399999999999,4.76,2.4699,7.2299,1.0,-1.2298188004711024,1.9272027502316893,7.847399999999999,1
AcTlTe2,Ba3Al2F12,0.6217000000000006,7.847399999999999,0.3530999999999995,6.872599999999999,7.225699999999999,1.0,-1.2298188004711024,0.0513779280944724,7.847399999999999,1
Ba2Ge2Te5,Ba3Al2F12,0.6240999999999999,7.847399999999999,3.1288,4.0945,7.2233,1.0,-1.2298188004711024,0.7641468398713298,7.847399999999999,1
Ba3Rh(CN)3,Ba3Al2F12,0.6265999999999998,7.847399999999999,3.3844,3.8364,7.2208,1.0,-1.2298188004711024,0.8821809816022882,7.847399999999999,1
Ba4Sb2O,Ba3Al2F12,0.6354000000000002,7.847399999999999,3.672,3.54,7.212,1.0,-1.2298188004711024,1.0372878425740557,7.847399999999999,1
Ba2ZnAs2,Ba3Al2F12,0.6404000000000001,7.847399999999999,4.0051,3.2019,7.207,1.0,-1.2298188004711024,1.2508506665259167,7.847399999999999,1
AcH3,Ba3Al2F12,0.6406999999999998,7.847399999999999,0.1966000000000001,7.0101,7.2067,1.0,-1.2298188004711024,0.0280452449971833,7.847399999999999,1
Ba3UAgS6,Ba3Al2F12,0.6431,7.847399999999999,2.8762,4.3281,7.2043,1.0,-1.2298188004711024,0.6645408690786097,7.847399999999999,1
Ba3BiN,Ba3Al2F12,0.6473,7.847399999999999,3.5783,3.6218,7.2001,1.0,-1.2298188004711024,0.9879891247476048,7.847399999999999,1
As2Os,Ba3Al2F12,0.6584000000000003,7.847399999999999,0.2448999999999994,6.9441,7.188999999999999,1.0,-1.2298188004711024,0.0352673441817737,7.847399999999999,1
Ba2PuZnO6,Ba3Al2F12,0.6585000000000001,7.847399999999999,2.1238,5.065099999999999,7.188899999999999,1.0,-1.2298188004711024,0.4193006220409031,7.847399999999999,1
Ba4As2O,Ba3Al2F12,0.6642000000000001,7.847399999999999,4.2268,2.9564,7.183199999999999,1.0,-1.2298188004711024,1.4297113280640887,7.847399999999999,1
Ba3Ir(CN)3,Ba3Al2F12,0.6643000000000003,7.847399999999999,3.2791,3.904,7.1831,1.0,-1.2298188004711024,0.839933186492524,7.847399999999999,1
Ba(AgTe)2,Ba3Al2F12,0.6733000000000002,7.847399999999999,2.7753999999999994,4.3987,7.174099999999999,1.0,-1.2298188004711024,0.6309590035785564,7.847399999999999,1
Ba3AlP3,Ba3Al2F12,0.679498501056627,7.847399999999999,3.4280499882723343,3.739851510671039,7.1679014989433725,1.0,-1.2298188004711024,0.9166270537383416,7.847399999999999,1
Ba(CdP)2,Ba3Al2F12,0.6823000000000001,7.847399999999999,3.5485,3.6166,7.1651,1.0,-1.2298188004711024,0.9811698885224,7.847399999999999,1
Ba3InAs3,BH3OF4,0.5167000000000002,7.668699999999999,0.4481999999999999,6.703799999999999,7.151999999999999,1.0,-1.2298188004711024,0.0668575931773631,7.668699999999999,1
Ba2VCu2F12,Ba3Al2F12,0.6976040828084954,7.847399999999999,5.725797664518669,1.4239982526728348,7.149795917191504,1.0,-1.2298188004711024,4.020927436423436,7.847399999999999,1
Ba3SbN,Ba3Al2F12,0.6988000000000003,7.847399999999999,3.3376,3.811,7.1486,1.0,-1.2298188004711024,0.8757804052006284,7.847399999999999,1
Ba2AsAu,BH3OF4,0.5211000000000001,7.668699999999999,0.3803999999999998,6.7672,7.1476,1.0,-1.2298188004711024,0.0562123099343435,7.668699999999999,1
AlGaAs2,Ba3Al2F12,0.7004999999999999,7.847399999999999,3.3039,3.843,7.1469000000000005,1.0,-1.2298188004711024,0.8597187458447187,7.847399999999999,1
Ba(GaTe2)2,BH3OF4,0.5273999999999996,7.668699999999999,0.5022000000000002,6.6391,7.1413,1.0,-1.2298188004711024,0.0756427715137938,7.668699999999999,1
Ba3NaRuO6,BH3OF4,0.5312000000000001,7.668699999999999,0.4950999999999999,6.6424,7.1375,1.0,-1.2298188004711024,0.0745363009550311,7.668699999999999,1
AlCuSnS4,Ba3Al2F12,0.7129226492450247,7.847399999999999,0.9169833667161827,6.217493984038792,7.134477350754975,1.0,-1.2298188004711024,0.1474843757928573,7.847399999999999,1
Ag8SnS6,BH3OF4,0.5350999999999999,7.668699999999999,0.4958,6.6378,7.1336,1.0,-1.2298188004711024,0.0746934112667734,7.668699999999999,1
AgSb2F12,BH3OF4,0.5397999999999998,7.668699999999999,5.7057,1.4232,7.1289,1.0,-1.2298188004711024,4.009061264009793,7.668699999999999,1
AlFePO5,BH3OF4,0.54,7.668699999999999,0.8300000000000001,6.2987,7.1287,1.0,-1.2298188004711024,0.1317732021253271,7.668699999999999,1
As(IF3)2,BH3OF4,0.5409,7.668699999999999,3.2473,3.8805,7.127800000000001,1.0,-1.2298188004711024,0.8368249357492756,7.668699999999999,1
Au3F8,BH3OF4,0.5426,7.668699999999999,4.6794,2.4467,7.1261,1.0,-1.2298188004711024,1.912534469884142,7.668699999999999,1
AgBr,Ba3Al2F12,0.7303999999999999,7.847399999999999,5.1668,1.9502,7.117000000000001,1.0,-1.2298188004711024,2.649367936945987,7.847399999999999,1
AgHg2NO5,BH3OF4,0.5517,7.668699999999999,2.7134,4.4036,7.117,1.0,-1.2298188004711024,0.6161775328872893,7.668699999999999,1
Ba2GeAs2,BH3OF4,0.5526,7.668699999999999,0.3071999999999999,6.8089,7.116099999999999,1.0,-1.2298188004711024,0.0451174132213113,7.668699999999999,1
Ba21(Cd2Sb9)2,Ba3Al2F12,0.7313999999999998,7.847399999999999,3.112,4.004,7.116,1.0,-1.2298188004711024,0.777222583111243,7.847399999999999,1
AgPbF6,Ba3Al2F12,0.7338,7.847399999999999,6.7893,0.3243,7.1136,1.0,-1.2298188004711024,20.935180588403984,7.847399999999999,1
Al2CuCl8,BH3OF4,0.5594,7.668699999999999,4.2474,2.8619,7.109299999999999,1.0,-1.2298188004711024,1.484118423383618,7.668699999999999,1
Ba2V3HO9,Ba3Al2F12,0.7389000000000001,7.847399999999999,3.8514,3.2571,7.108499999999999,1.0,-1.2298188004711024,1.1824625641022493,7.847399999999999,1
Ba3GaAs3,Ba3Al2F12,0.7389999999999999,7.847399999999999,4.1012,3.0072,7.1084000000000005,1.0,-1.2298188004711024,1.363793108608304,7.847399999999999,1
Ba2V2CuF12,Ba3Al2F12,0.7418,7.847399999999999,5.755599999999999,1.35,7.105599999999999,1.0,-1.2298188004711024,4.263404249330185,7.847399999999999,1
AgHg2AsO4,Ba3Al2F12,0.7441000000000001,7.847399999999999,5.786,1.3173,7.103299999999999,1.0,-1.2298188004711024,4.392314285041915,7.847399999999999,1
Ba4Li(BiO4)3,BH3OF4,0.5661,7.668699999999999,0.6435,6.459099999999999,7.102599999999999,1.0,-1.2298188004711024,0.0996268675780112,7.668699999999999,1
