Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba2InCuO4,Ba(PO3)2,0.6665954940282546,0.7579012,0.5296369028000143,64.54251879855609,1.3662169977268188,5.4349,4.0687,17.40684437120676,-0.7557097571428559,-0.0567011576179123
Ba2InCuO4,Ba2YC2(O2F)3,0.6644875959230445,0.76111335,0.5195489415707644,62.275081187629254,1.3662169977268188,5.263999999999999,3.8978,16.447548766982095,-0.9698248188095252,-0.1847708964030992
Ba3Zr6BeCl18,Ba2YC2(O2F)3,0.6627215347459667,0.7542212,0.5254719907469436,64.24936669484535,1.2822169977268187,5.263999999999999,3.9818,16.447548766982095,-0.9081494096428576,-0.1006077653322617
Ba2MnSe3,Ba2HoCl7,0.6609792039243703,0.74684435,0.5321814679722798,66.43337764003661,1.322916997726819,5.4559,4.133,17.526026148831015,-1.0944490683396175,-0.1297846600532301
Ba2MnSe3,Ba2DyCl7,0.6598138885102061,0.7468735,0.5292244445287652,65.8883466249928,1.322916997726819,5.4194,4.096500000000001,17.31921624773407,-1.097789788006283,-0.1398510923959477
Ba3Zr6BeCl18,Ba(PO3)2,0.6587500044326229,0.7435467,0.5315549097012091,66.74903255361794,1.2822169977268187,5.4349,4.152699999999999,17.40684437120676,-0.6940343479761886,0.0214077588075228
Ba(GdSe2)2,Ba2DyCl7,0.6580588943916283,0.7453305,0.5271514075889493,65.70810139048649,1.481060739031996,5.4194,3.9384,17.31921624773407,-0.6162207365416692,-0.0547938249035141
Ba2Zr6BCl17,Ba2DyCl7,0.6574364321346716,0.7470967,0.5229459744979035,64.70185698525668,1.3409169977268192,5.4194,4.0785,17.31921624773407,-0.5455858848910249,-0.1808753218094888
Ba2Zr6BCl17,Ba3Tm(BO2)9,0.655124058265653,0.74076664,0.5266601342438827,66.2139835091854,1.3409169977268192,5.2676,3.9267,16.467591779378182,-0.8135960599017791,0.0226908090763235
Ba2SnSe5,Ba2DyCl7,0.6534445668016269,0.7345314,0.5318142684187478,67.98391800747426,1.3426169977268192,5.4194,4.0768,17.31921624773407,-1.3586203035143225,0.0042189952904239
Ba2Zr6BCl17,Ba2HoCl7,0.6523706527122152,0.7377169,0.5243512023409932,66.18792468473393,1.3409169977268192,5.4559,4.115,17.526026148831015,-0.5422451652243594,-0.1704009720534629
Ba(GdSe2)2,Ba2HoCl7,0.6522062952522576,0.737251,0.5246392476568968,66.30265758900369,1.481060739031996,5.4559,3.9749,17.526026148831015,-0.6128800168750037,-0.0451080530327807
