Material_Pair,Core_Formula,Shell_Formula,Master_Consensus_Score,Master_Confidence_Index_%,Score_Delta,DualTree_Score,MultiParadigm_Score,DualTree_Agreement_%,MultiParadigm_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Strain_Decay_Factor,Synthesizability_Index,Synthesis_Regime
Ba2InCuO4 / Ba(PO3)2,Ba2InCuO4,Ba(PO3)2,0.6906616857630554,71.02582231028994,0.0481323834696016,0.6665954940282546,0.7147278774978563,64.54251879855609,84.69214593178185,1.3662169977268188,5.4349,4.0687,17.40684437120676,-0.7557097571428559,-0.0567011576179123,4.5464,4.3882,3.47967622734471,0.8101625181462656,0.7802553472587507,Semi-Coherent (Moderate Strain Risk)
Ba2MnSe3 / Ba2HoCl7,Ba2MnSe3,Ba2HoCl7,0.6841330812784814,72.30754373238115,0.0463077547082222,0.6609792039243703,0.7072869586325925,66.43337764003661,85.20368156716917,1.322916997726819,5.4559,4.133,17.526026148831015,-1.0944490683396175,-0.1297846600532301,5.7412,6.0199,4.854385842680968,0.7455073069013394,0.7452398029625261,Semi-Coherent (Moderate Strain Risk)
Ba2MnSe3 / Ba2DyCl7,Ba2MnSe3,Ba2DyCl7,0.6834921631131498,71.89807722749512,0.0473565492058873,0.6598138885102061,0.7071704377160934,65.8883466249928,85.05601176546631,1.322916997726819,5.4194,4.096500000000001,17.31921624773407,-1.097789788006283,-0.1398510923959477,5.7412,6.0236,4.918832299867623,0.7426062253140493,0.7359520249983267,Semi-Coherent (Moderate Strain Risk)
Ba2InCuO4 / Ba2YC2(O2F)3,Ba2InCuO4,Ba2YC2(O2F)3,0.6862783236058712,70.1394523994682,0.0435814553656532,0.6644875959230445,0.7080690512886978,62.27508118762925,84.39596109393499,1.3662169977268188,5.263999999999999,3.8978,16.447548766982095,-0.9698248188095252,-0.1847708964030992,4.5464,4.3614,4.069153616047873,0.7817785256971266,0.7330025879922376,Semi-Coherent (Moderate Strain Risk)
Ba2SnSe5 / Ba2DyCl7,Ba2SnSe5,Ba2DyCl7,0.6667346563671873,75.64674130093768,0.0265801791311208,0.6534445668016269,0.6800247459327478,67.98391800747426,87.44078093365688,1.3426169977268192,5.4194,4.0768,17.31921624773407,-1.3586203035143225,0.0042189952904239,6.2206,6.0236,3.1668970838825845,0.8256393083131008,0.728356422867534,Semi-Coherent (Moderate Strain Risk)
Ba2InBiSe5 / Ba2DyCl7,Ba2InBiSe5,Ba2DyCl7,0.6571290003098664,75.17735603205217,0.030106698428295,0.6420756510957188,0.6721823495240139,67.93577088335958,87.08613907359718,1.316416997726819,5.4194,4.103,17.31921624773407,-1.4002941823460644,-0.2201803558371923,5.9323,6.0236,1.5390320786204403,0.9110919618609814,0.7235325642336488,Coherent Epitaxy (Low Strain Risk)
Ba(GdSe2)2 / Ba2DyCl7,Ba(GdSe2)2,Ba2DyCl7,0.6805161287464296,72.07363551207148,0.0449144687096026,0.6580588943916283,0.702973363101231,65.70810139048649,85.21793224902262,1.481060739031996,5.4194,3.9384,17.31921624773407,-0.6162207365416692,-0.0547938249035141,5.772,6.0236,4.358974358974356,0.7681901781282912,0.7227155449963248,Semi-Coherent (Moderate Strain Risk)
Ba3Sb2Se7 / Ba2DyCl7,Ba3Sb2Se7,Ba2DyCl7,0.639970512639172,78.78734255631467,0.024410248686842,0.627765388295751,0.6521756369825931,72.57047293218102,88.94689120631217,1.1737615750124288,5.4194,4.2456,17.31921624773407,-1.4250768693411453,0.0057471264367816,6.0464,6.0236,0.37708388462556486,0.9774446868954981,0.7204430153044342,Coherent Epitaxy (Low Strain Risk)
Ba2InBiSe5 / Ba2HoCl7,Ba2InBiSe5,Ba2HoCl7,0.6525369064504033,75.1548693085262,0.0324563149567052,0.6363087489720507,0.6687650639287559,68.35209259275953,86.99979584453253,1.316416997726819,5.4559,4.1395,17.526026148831015,-1.396953462679399,-0.2094214277086604,5.9323,6.0199,1.4766616657957305,0.9145363798724884,0.7104038835396349,Coherent Epitaxy (Low Strain Risk)
Ba(GdSe2)2 / Ba2HoCl7,Ba(GdSe2)2,Ba2HoCl7,0.6737221197543308,72.62644360850125,0.0430316490041463,0.6522062952522576,0.695237944256404,66.30265758900369,85.48176356332326,1.481060739031996,5.4559,3.9749,17.526026148831015,-0.6128800168750037,-0.0451080530327807,5.772,6.0199,4.294871794871788,0.7711751616644775,0.7050607408414943,Semi-Coherent (Moderate Strain Risk)
