Formula,MP_ID,Eg_bulk_eV,CBM_bulk_eV,VBM_bulk_eV,Formation_Energy_eV,Dielectric_Static,Eg_nano_3nm_eV
Ac2O3,mp-11107,3.5219000000000005,8.112,4.5901,-3.737668289999997,10.0,3.6973061676604706
Ac2S3,mp-32800,2.2729,7.0869,4.814,-2.4930635934375003,10.0,2.44830616766047
AcAlO3,mp-1183115,4.1024,10.906,6.8036,-3.690019421499996,10.0,4.27780616766047
AcBr3,mp-27972,4.1034,5.1408,1.0374,-2.494519163125,10.0,4.27880616766047
AcBrO,mp-30274,4.2407,7.4413,3.2006,-3.2181859641666706,10.0,4.4161061676604705
AcCl3,mp-27971,5.0865,6.1773,1.0908,-2.940648830625,10.0,5.26190616766047
AcCrO3,mp-866101,2.0031000000000008,8.2567,6.2536,-3.1389721295,10.0,2.178506167660471
AcF3,mp-985278,6.0693,8.9504,2.8811,-4.413080099375,10.0,6.24470616766047
AcFeO3,mp-861502,1.0084,7.506,6.4976,-2.771539465500001,10.0,1.18380616766047
AcGaO3,mp-1183053,2.895900000000001,8.1819,5.286,-3.0632526170000007,10.0,3.071306167660471
AcH3,mp-861605,0.6406999999999998,6.9559,6.3152,-0.6718020309374992,10.0,0.8161061676604701
AcI3,mp-861867,2.5886,2.274,-0.3146,-1.8010032031250018,10.0,2.76400616766047
AcOF,mp-36526,4.2561,7.8655,3.6094,-4.159174074166669,14.536975816666661,4.458261133189692
AcTlTe2,mp-865028,0.6217000000000006,6.7994,6.1777,-1.2514026447916695,10.0,0.7971061676604708
Ag(BCl)6,mp-567334,2.6955,3.0902,0.3947,-0.9528340284935891,10.0,2.87090616766047
Ag15P4S16Cl3,mp-560328,1.2258,3.458,2.2322,-0.48195322627819487,10.0,1.4012061676604701
Ag2B8O13,mp-554873,3.2651,3.7178,0.4527,-2.5106557157246367,10.0,3.44050616766047
Ag2Ge(S2O7)3,mp-1196546,2.8072,2.9713,0.1641,-1.5999475659999998,10.0,2.98260616766047
Ag2GePbS4,mp-861942,1.3699000000000003,4.99,3.6201,-0.5503585122916661,29.23312854,1.601707145987137
Ag2H4(SO4)3,mp-860963,2.8882,3.3807,0.4925,-1.449344143492063,10.0,3.06360616766047
Ag2HgI4,mp-23485,1.2219000000000002,2.1173,0.8954,-0.5123625465476189,9.070052743333333,1.3885167418557236
Ag2HgSI2,mp-556866,1.2278,2.4716,1.2438,-0.44160478972222234,11.688167266666662,1.4155878898771574
Ag2Mo2O7,mp-27966,1.9053,3.2517,1.3464,-1.5074706507575748,10.0,2.08070616766047
Ag2P2H2O7,mp-1195759,2.150562922126691,3.52585334037113,1.3752904182444392,-1.815974185778367,10.0,2.325969089787161
Ag2P2PdO7,mp-1190325,1.1667999999999998,2.5732,1.4064,-1.7857666810515873,10.0,1.34220616766047
Ag2PHO4,mp-707138,1.3274000000000001,2.6615,1.3341,-1.5734414415699398,10.0,1.5028061676604703
Ag2PSe3,mp-13956,0.8588,3.5628,2.704,-0.3363640391679065,14.884344336666665,1.0623373874653046
Ag2PdCl4,mp-28557,0.9506000000000001,1.6909,0.7403,-0.8042831183333325,19.693360249999543,1.1682017055340592
Ag2S,mp-1537871,1.6081000000000003,6.538,4.9299,-0.11837386593749954,10.0,1.7835061676604704
Ag2S2O7,mp-1192057,2.3015999999999996,3.336,1.0344,-1.4055423298484848,10.0,2.4770061676604698
Ag2SO4,mp-5625,1.2289,2.5708,1.3419,-1.256612797261903,34.75338981219033,1.4653651425608496
Ag2SeO3,mp-16913,1.7022,3.0669,1.3647,-0.8250872030295131,10.0,1.87760616766047
Ag2SeO3,mp-2748718,2.0934999999999997,5.8664,3.7729,-0.5705825800520827,10.0,2.26890616766047
Ag2Sn(S2O7)3,mp-1197599,2.4602000000000004,2.7844,0.3242,-1.6166738946666674,10.0,2.6356061676604705
Ag2TeS3,mp-29163,1.3064999999999998,4.3062,2.9997,-0.07894978057291742,13.06676703666667,1.5020260129849214
Ag3AsS3,mp-561620,1.6277999999999997,4.0942,2.4664,-0.16004723620535394,10.0,1.8032061676604698
Ag3AsSe3,mp-662599,0.8906000000000001,3.2479,2.3573,-0.30236748243303524,10.0,1.0660061676604702
Ag3Ge5P6,mp-17862,0.5335999999999999,5.4356,4.902,-0.041898267346937246,21.0713526066338,0.7540484374333005
Ag3P11,mp-27821,0.8305999999999996,5.4982,4.6676,-0.04616663662414818,12.224839893327342,1.0216077117458107
Ag3PS4,mp-12459,0.9998,3.7271,2.7273,-0.25612480990327313,10.112646456666665,1.1761610826495408
Ag3SbS3,mp-555269,1.5142000000000002,4.6344,3.1202,-0.20678933263392554,10.0,1.6896061676604703
Ag4Mo2Se3O16,mp-558550,1.6142999999999998,2.6847,1.0704,-1.227226647047916,10.0,1.78970616766047
Ag5BiO4,mp-28812,1.459,3.5605,2.1015,-0.658539459833331,10.0,1.6344061676604702
Ag5Hg4P8Cl5,mp-568540,0.9356999999999998,3.4368,2.5011,-0.38926681752164555,94.40521626999998,1.1877514264394422
Ag5P(S2Cl)2,mp-559847,1.2689,3.3314,2.0625,-0.5435259819146813,61.459754556666674,1.516083760286318
Ag8GeS6,mp-9770,0.6102000000000003,3.0792,2.469,-0.3272566030555529,10.0,0.7856061676604705
Ag8SnS6,mp-15645,0.5350999999999999,3.2342,2.6991,-0.20496340979166613,10.0,0.7105061676604701
AgAs(S8F3)2,mp-556837,2.7366,2.7828,0.0462,-1.086225823923611,10.0,2.9120061676604703
AgAs3H2O9,mp-985701,0.8362,2.3967,1.5605,-1.4163172241111122,10.0,1.0116061676604702
AgAsF6,mp-37153,1.7393999999999998,-0.8313,-2.5707,-2.2011483698958334,4.177139149996149,1.7953057375711476
AgAsPbS3,mp-22665,1.3314000000000004,4.8604,3.529,-0.49983294361111,10.0,1.5068061676604705
AgAu(IO3)4,mp-1229194,1.2572999999999999,3.6746,2.4173,-0.7131055570370369,10.0,1.43270616766047
AgAuCl4,mp-570340,0.8406,0.5406,-0.3,-0.7744889177777777,10.0,1.0160061676604701
AgAuF4,mp-16060,1.0268000000000002,0.2268,-0.8,-1.4019354844444454,6.916462983333335,1.163987362216799
AgAuO2,mp-996983,0.6175000000000002,2.3925,1.775,-0.4695447591666664,14.243665006666669,0.8184467821482845
AgB11H6CBr6,mp-703539,3.2973,2.4931,-0.8042,-0.447013033799999,10.0,3.47270616766047
AgBF4,mp-12021,3.157,1.8587,-1.2983,-2.575888896388889,10.0,3.33240616766047
AgBH2OF4,mp-24058,3.044,1.6468,-1.3972,-2.162864122314816,10.0,3.21940616766047
AgBi(IO3)4,mp-1195262,2.4068,5.8323,3.4255,-0.9253991323148149,10.0,2.58220616766047
AgBi(PS3)2,mp-556434,1.1837999999999997,4.398,3.2142,-0.3388252107827384,21.052495523333338,1.4042119964136308
AgBi(PSe3)2,mp-569126,1.3072,3.5645,2.2573,-0.46588106450148814,10.0,1.48260616766047
AgBi3S5,mp-23474,0.5262000000000002,4.8986,4.3724,-0.3722022776736114,211.12634425666667,0.7832716499819203
AgBiSCl2,mp-556094,1.0752000000000002,3.9597,2.8845,-0.9455957438333339,113.99861914,1.3288121510742434
AgBr,mp-23231,0.7303999999999999,1.9857,1.2553,-0.6596210383333325,12.692159136763971,0.9239896566793429
AgCl,mp-22922,0.9522000000000002,2.3624,1.4102,-0.728691575833333,11.41491176275674,1.1382321428536795
AgClO4,mp-22993,2.613,2.9791,0.3661,-0.41406829361111025,7.870760899999998,2.7652151550226987
AgH5S2O9,mp-24072,3.5225000000000004,3.4397,-0.0828,-1.4486150450245106,10.0,3.6979061676604705
AgHg2AsO4,mp-558188,0.7441000000000001,1.3665,0.6224,-1.0544510055208351,10.0,0.9195061676604702
AgHg2NO5,mp-560443,0.5517,1.0166,0.4649,-0.6809799182407422,10.0,0.7271061676604701
AgHg2PO4,mp-556798,1.1892000000000003,2.2728,1.0836,-1.5083162942261916,10.0,1.3646061676604704
AgHgAsS3,mp-6215,1.1993,3.478,2.2787,-0.36442808402777277,21.412280273333337,1.420396204570691
AgHgSBr,mp-560067,1.2696,1.6715,0.4019,-0.5442998554166674,13.926265816666666,1.469175075062923
AgHgSI,mp-23140,1.3679000000000001,2.5333,1.1654,-0.4264321279166676,10.0,1.5433061676604702
AgI,mp-580941,1.3759000000000001,2.5295,1.1536,-0.4677598983333322,7.119769473334294,1.5166266286141876
AgI3O8,mp-1194592,2.293848415139808,4.7381481276786115,2.4442997125388035,-0.7530212759722227,10.0,2.469254582800278
AgIO3,mp-27384,2.4375,4.966,2.5285,-0.7130686653333328,10.0,2.61290616766047
AgMo6Cl13,mp-1214988,2.6357999999999997,5.1038,2.468,-1.2827291965833332,10.0,2.81120616766047
AgMoPO6,mp-14029,2.0962,3.435,1.3388,-1.9811057354232804,10.0,2.27160616766047
AgNO3,mp-552185,1.8635,1.9786,0.1151,-0.6806635453333335,10.723407676857569,2.0446892888785495
AgP(OF)2,mp-1194585,1.9686,1.6414,-0.3272,-2.261493737718254,10.0,2.14400616766047
AgPF6,mp-34418,3.2361,0.8544,-2.3817,-2.53426353578869,4.3637792466732535,3.3007833264309214
AgPO3,mp-18702,2.0246000000000004,3.3542,1.3296,-1.958048157761913,10.0,2.2000061676604705
AgPbF6,mp-1206101,0.7338,0.3632,-0.3706,-1.9283080564583317,10.0,0.9092061676604702
AgRh(SO4)2,mp-1214944,1.1739000000000002,2.9803,1.8064,-1.4627008163888877,10.0,1.3493061676604703
AgSO3F,mp-1229086,2.4337,2.7333,0.2996,-1.5912135315277773,10.0,2.60910616766047
AgSb(S8F3)2,mp-559602,2.7422,2.8798,0.1376,-1.14008699361111,10.0,2.91760616766047
AgSb2F12,mp-14653,0.5397999999999998,-1.9757,-2.5155,-2.3869322361111105,5.020741040000001,0.6301885578528496
AgSbF6,mp-3414,1.7739,1.2117,-0.5622,-2.3583007792708326,10.0,1.94930616766047
AgSbS(OF3)2,mp-1199019,2.560478609099197,1.5275783913551386,-1.0329002177440585,-2.141207953106061,10.0,2.7358847767596672
AgSbS2,mp-3922,1.3512,4.9216,3.5704,-0.2501113989062489,16.412286796666663,1.5600993057749453
AgTeO3,mp-559257,1.4211,4.173,2.7519,-1.1464252671666664,10.0,1.5965061676604702
AgW3Br7,mp-29718,2.6908000000000003,3.2496,0.5588,-0.8177875281060594,10.0,2.8662061676604704
Al(BH4)3,mp-569787,6.2431,1.5237,-4.7194,-0.10353345781250045,3.39844228,6.251981518994887
Al(BiCl)4,mp-1198361,1.4598000000000002,3.2259,1.7661,-1.1034899319444458,10.0,1.6352061676604703
Al(ICl2)3,mp-672352,1.7106,1.2387,-0.4719,-1.081075036250001,10.0,1.88600616766047
Al(IO3)3,mp-555903,3.3465999999999996,6.2227,2.8761,-1.3017925411538454,8.33793544,3.5049177692673994
Al(PO3)3,mp-1019377,5.8176,5.4521,-0.3655,-2.8411529897252756,10.0,5.99300616766047
Al(SeCl)4,mp-683984,1.1038000000000001,0.6723,-0.4315,-1.0319158957638968,10.0,1.2792061676604702
Al(SeCl2)2,mp-574529,1.3809,0.077,-1.3039,-1.321299250669642,10.0,1.5563061676604701
Al(TeCl2)2,mp-540628,1.3285,1.0912,-0.2373,-1.359382804583333,10.0,1.5039061676604701
Al11TlO17,mp-758571,4.585100000000001,8.8688,4.2837,-3.308075045114943,10.0,4.760506167660471
Al11TlO17,mp-2206289,5.323600000000001,9.601,4.2774,-3.2150562399568954,10.0,5.499006167660471
Al2(CN2)3,mp-1029975,2.8366,5.9959,3.1593,-0.6093145309090912,10.0,3.01200616766047
Al2(MoO4)3,mp-19521,3.5374,3.0804,-0.457,-2.403986258676472,10.0,3.71280616766047
Al2(SO4)3,mp-4417,6.0433,7.1104,1.0671,-2.3349570783823537,10.0,6.2187061676604705
Al2(SeO4)3,mp-756970,3.0578000000000003,3.2791,0.2213,-1.7608418939430153,10.0,3.2332061676604704
Al2Ag2Bi2S3Cl8,mp-1194539,1.901,3.2374,1.3364,-1.3475917774019601,10.0,2.07640616766047
Al2B3HO8,mp-1199198,6.1951,4.9798,-1.2153,-2.916216542232143,10.0,6.37050616766047
Al2BiS4,mp-557737,2.6386,5.2985,2.6599,-1.0268268494642854,13.505916713333333,2.8362592167974214
Al2BiSe4,mp-571623,2.2404,4.312,2.0716,-0.872662828750001,15.171280583333333,2.4450266823483884
Al2Cd3(GeO4)3,mp-1214967,2.9874,5.2508,2.2634,-2.2718875258750004,10.0,3.16280616766047
Al2CdBr8,mp-1214910,3.6647999999999996,2.5054,-1.1594,-1.4495020240909093,10.0,3.8402061676604697
Al2CdCl8,mp-28361,3.7081999999999997,2.2123,-1.4959,-1.8501213690909089,10.0,3.88360616766047
Al2CdS4,mp-5928,2.7303000000000006,4.6115,1.8812,-1.1472330416071432,8.232516483334537,2.8873012125417823
Al2CdSe4,mp-3159,2.0058,3.4614,1.4556,-1.0754883984821428,9.313653563331576,2.174888812361587
Al2CdTe4,mp-7909,1.6261,4.6627,3.0366,-0.5821135314285755,10.718463236669713,1.8072524111819264
Al2CuCl8,mp-23434,0.5594,-0.5174,-1.0768,-1.6874217595454548,10.0,0.7348061676604701
Al2Ga2Bi2O9,mp-1214864,2.7318,6.1986,3.4668,-2.4684174016666676,10.0,2.90720616766047
Al2Ge(O2F)2,mp-561437,4.0818,7.083,3.0012,-3.171815519166666,10.0,4.25720616766047
Al2H12(SeO5)3,mp-707424,4.7445,4.0811,-0.6634,-1.6108465986572273,10.0,4.9199061676604705
Al2H16S3O20,mp-850293,5.6055,5.0993,-0.5062,-1.7330980639024391,10.0,5.78090616766047
Al2H32S3O28,mp-1196041,4.6645,3.6228,-1.0417,-1.5678861953461531,10.0,4.83990616766047
Al2Hg3Cl8,mp-27346,2.4917,1.2811,-1.2106,-1.5163545836538488,10.0,2.66710616766047
Al2HgS4,mp-7906,2.0163,4.0578,2.0415,-1.1063106832142928,10.617375053333335,2.1966909238029113
Al2HgSe4,mp-3038,1.4322000000000001,3.0308,1.5986,-0.825231304821429,12.08869747999479,1.622417974256357
Al2HgTe4,mp-7910,1.1122,4.301,3.1888,-0.47700404821428527,13.5947930866496,1.3102741724210096
Al2NiO4,mp-37614,3.1956000000000007,9.1926,5.997,-2.8027414935714297,10.0,3.371006167660471
Al2O3,mp-1143,5.8743,11.6968,5.8225,-3.4265510080000006,9.706237702841708,6.047111647007425
Al2Pb3F12,mp-14941,5.2252,6.3292,1.104,-3.2456635836764707,10.0,5.40060616766047
Al2PbO4,mp-21892,3.9433,6.7352,2.7919,-2.8937835900000146,18.512909993333334,4.158126052511404
Al2PbS4,mp-1103722,2.5904,5.7401,3.1497,-1.233530308571437,42.76460659666666,2.8314860666109243
Al2PbSe4,mp-675374,1.9961000000000002,4.6516,2.6555,-0.9435391144642844,10.0,2.1715061676604703
Al2PdCl8,mp-27452,1.6806,-0.117,-1.7976,-1.676674889999999,3.50831252,1.697381279063197
Al2S3,mp-1228491,3.0435746359539815,6.3455439999704994,3.301969364016518,-1.2369562236874998,10.0,3.2189808036144516
Al2Se3,mp-11674,1.8040000000000003,4.519,2.715,-1.008823536437501,9.354686643365255,1.973492547726384
Al2Si(O2F)2,mp-6280,5.706199999999999,9.2411,3.5349,-3.529615748611111,10.0,5.881606167660469
Al2Si2PbO8,mp-1195073,4.261250911072367,6.112250367386924,1.8509994563145569,-3.1053062625961534,10.0,4.436657078732837
Al2Si3H8(NO5)2,mp-706243,4.576099999999999,4.8111,0.235,-2.1697174975000006,10.0,4.7515061676604695
Al2SiO5,mp-5065,5.4454,10.2469,4.8015,-3.3768698634375003,10.0,5.62080616766047
Al2Te2Cl7,mp-540629,1.4057,0.9698,-0.4359,-1.5805691443939403,10.0,1.58110616766047
Al2Te3,mp-29502,2.2383000000000006,5.363,3.1247,-0.5590248137499998,10.0,2.4137061676604707
Al2Te5,mp-9254,1.0460999999999996,4.6118,3.5657,-0.4019399971428551,18.621158280021096,1.2611952380032911
Al2VCl8,mp-568443,0.8418000000000001,2.6147,1.7729,-1.8714866172727278,3.117802056666667,0.8418000000000001
Al2ZnO4,mp-2908,3.8459999999999996,7.8218,3.9758,-3.0210726285714293,9.281930786666607,4.014774236939636
Al2ZnS4,mp-4842,2.4934000000000003,6.6596,4.1662,-1.1905034680357136,11.486136013333313,2.679897829059942
Al2ZnSe4,mp-7907,2.1529,4.111,1.9581,-1.1007739499107134,9.178696063337346,2.3206354691302207
Al2ZnTe4,mp-7908,1.6274000000000002,5.1509,3.5235,-0.704937983809523,10.852307156670932,1.8095388179583263
Al3BC3,mp-1228599,2.0981999999999994,8.0673,5.9691,-0.23713364392857206,10.0,2.2736061676604695
Al3Tl4Fe(As2O7)4,mp-1229069,2.7875,4.4028,1.6153,-1.9299713141666681,10.0,2.96290616766047
Al4(B2O5)3,mp-31408,5.8127,7.5178,1.7051,-3.0834730528,5.81064330665891,5.926299529493924
Al4B2O9,mp-1229135,4.9982,8.1121,3.1139,-3.264206385222222,10.0,5.17360616766047
Al4Bi2O9,mp-23426,2.7654000000000005,7.1824,4.417,-2.857885393999998,10.0,2.9408061676604706
Al4C3,mp-1591,1.3163999999999998,8.6175,7.3011,-0.23825637285714305,17.828700309990722,1.5294489730760588
Al4CO4,mp-13703,3.8232999999999997,6.9815,3.1582,-2.594719617222223,6.25285082,3.9473331691266407
Al4CdO7,mp-1190488,3.0642,5.2192,2.155,-3.094281680416666,10.144908426666667,3.240830664051058
Al4Fe2Si5O18,mp-1204107,3.8626999999999994,5.3157,1.453,-3.1046468531034495,10.0,4.0381061676604695
Al4InAgSe8,mp-1228721,1.1564,3.9272,2.7708,-0.9935458812202381,10.0,1.3318061676604702
Al5BO9,mp-3281,4.9384999999999994,7.3986,2.4601,-3.3666107872777786,6.8018227,5.073598355261415
Al5CuS8,mp-35267,1.4217000000000004,7.1241,5.7024,-1.1671159744642858,11.59311484333332,1.6088865380473651
Al6B5(O5F)3,mp-6738,6.114699999999999,8.9117,2.797,-3.2722042729597693,10.0,6.290106167660469
Al6Cd4SO12,mp-9203,2.7127,3.1755,0.4628,-2.7123131624999988,7.003835766666668,2.851433571083611
Al6Cd4TeO12,mp-9535,2.5652,3.3805,0.8153,-2.6822620276811593,7.381482936666667,2.7101956517822634
Al6SnTe10,mp-530331,1.4355999999999995,5.294,3.8584,-0.6946291857843132,10.0,1.6110061676604697
Al7(TlS4)3,mp-28759,2.7930000000000006,5.4118,2.6188,-1.2624896618181827,10.0,2.9684061676604707
Al7Cr(Bi2O9)2,mp-1228228,2.5549560403264584,7.016043853131416,4.461087812804958,-2.767509591666667,10.0,2.7303622079869285
Al8(Pb3O7)3,mp-13875,2.8716,6.6177,3.7461,-2.5211375953289474,10.0,3.04700616766047
AlAg(PSe3)2,mp-1228964,1.6206273473282033,4.218925072550901,2.5982977252226975,-0.5870029005014878,11.3104394,1.805965806656599
AlAgO2,mp-9631,1.4164000000000003,5.5172,4.1008,-2.3048770966666545,10.725074266660075,1.5976017113381855
AlAgS2,mp-5782,1.8992,4.7058,2.8066,-0.9040030489062492,8.436321743331385,2.0587168128801396
AlAgSe2,mp-14091,1.1351999999999998,3.2434,2.1082,-0.8526771690885333,9.700932379998548,1.3079633456410829
AlAgSnSe4,mp-1228963,1.1072000000000002,3.0981,1.9909,-0.7697020251488093,10.966966463333335,1.290164689912234
AlAgTe2,mp-14092,1.0469000000000004,4.4015,3.3546,-0.43926148875000237,10.953366963334181,1.2297676387395275
AlAs,mp-2172,1.5007000000000001,5.0743,3.5736,-0.6270427762500006,11.537902879999983,1.687532688883917
AlAs3S5Cl4,mp-558360,2.2619,2.441,0.1791,-1.0036169826923071,10.0,2.43730616766047
AlAsO4,mp-5189,3.8812,3.7926,-0.0886,-2.456086594583332,10.0,4.05660616766047
AlBPbO4,mp-558137,2.7567000000000004,6.8647,4.108,-2.720201696845237,10.0,2.9321061676604705
AlBiCl6,mp-672273,3.7506000000000004,2.6364,-1.1142,-1.7141479287500005,10.0,3.9260061676604705
AlBiSCl4,mp-561350,2.8305,2.8415,0.011,-1.5803596471428578,10.0,3.00590616766047
AlBr3,mp-23288,4.0992,2.0313,-2.0679,-1.5180502868750008,10.0,4.27460616766047
AlCdCl4,mp-1102961,2.761,2.2197,-0.5413,-1.7117466549999871,5.572068016666667,2.868282733749167
AlCl3,mp-25469,5.274,5.2639,-0.0101,-1.9658130437500003,5.348142059989676,5.374841084198634
AlCrFeO4,mp-1229097,1.4774590874020497,6.696320173748993,5.218861086346943,-2.542837820714286,10.0,1.6528652550625198
AlCu(PSe3)2,mp-1228984,0.8811706307205736,4.552269015484095,3.6710983847635212,-0.5588789933348209,10.0,1.0565767983810437
AlCuBr4,mp-1102536,2.1451000000000002,3.2862,1.1411,-1.2135481599999867,5.252280359999999,2.2430155425111766
AlCuCl4,mp-28020,2.4984,4.0579,1.5595,-1.5768964483333197,4.87481738,2.5836774912472573
AlCuGeSe4,mp-1228980,0.8904999999999998,3.7373,2.8468,-0.7430883706249993,10.0,1.06590616766047
