core_material,core_class,core_material_id,shell_material,shell_class,shell_material_id,core_Eg_eV,core_chi_eV,core_chi_is_estimated,shell_Eg_eV,shell_chi_eV,shell_chi_is_estimated,shell_dielectric_constant_est,shell_dielectric_constant_source,band_alignment,dEc_eV,dEv_eV,core_radius_nm,shell_thickness_nm,trap_density_cm3,voltage_max_V,hysteresis_window_V,on_off_ratio,retention_time_s,endurance_cycles
Ca3(GaN2)2,inorganic,mp-571162,NaLiTe,inorganic,mp-8754,1.9148000000000005,-1.7394931342048716,True,2.2840000000000003,-2.0307194123809014,True,11.231166746666668,MP_DFPT_real,"Type I (straddling, shell confines core)",-0.29122627817602975,-0.07797372182397,4.067377149722687,2.2900893785265835,1.2519030602035674e+18,2.0271513159854706,0.31898515891824303,18.33288119394025,0.004776996696321165,110411.48785369044
Ca3(GaN2)2,inorganic,mp-571162,NaLiTe,inorganic,mp-8754,1.9148000000000005,-1.7394931342048716,True,2.2840000000000003,-2.0307194123809014,True,11.231166746666668,MP_DFPT_real,"Type I (straddling, shell confines core)",-0.29122627817602975,-0.07797372182397,1.5275095252418132,2.4697957274563227,4.08902183966946e+18,2.881606967847362,0.42360512173622505,25.563933635292727,0.013145122730102333,64656.26513651559
Ca3(GaN2)2,inorganic,mp-571162,NaLiTe,inorganic,mp-8754,1.9148000000000005,-1.7394931342048716,True,2.2840000000000003,-2.0307194123809014,True,11.231166746666668,MP_DFPT_real,"Type I (straddling, shell confines core)",-0.29122627817602975,-0.07797372182397,5.23605293608162,2.74874799474596,2.1667789159313244e+18,2.9335366175055757,0.5006011755816974,19.937429759646598,0.06880408332239553,87980.46615815481
Ca3(GaN2)2,inorganic,mp-571162,NaLiTe,inorganic,mp-8754,1.9148000000000005,-1.7394931342048716,True,2.2840000000000003,-2.0307194123809014,True,11.231166746666668,MP_DFPT_real,"Type I (straddling, shell confines core)",-0.29122627817602975,-0.07797372182397,3.386262825869955,0.3084973179555211,7.857389694238438e+17,3.6998863806391076,0.5274260703685524,27.679248755299213,1.0233754671126023e-06,121567.80726237937
Na2Te,inorganic,mp-2784,K6Na3GaSb4,inorganic,mp-6112,2.0287,-1.5587843008869138,True,0.6974,-1.6321671901426886,True,8.0,no_MP_dielectric_data_default_used,Type II (staggered),-0.07338288925577485,1.404682889255775,1.6583130460573037,1.9338159616760648,3365783556955919.0,1.986684167800439,0.13199805303927642,4.813118330229552,10439225150.653637,1734896.2926484079
Na2Te,inorganic,mp-2784,K6Na3GaSb4,inorganic,mp-6112,2.0287,-1.5587843008869138,True,0.6974,-1.6321671901426886,True,8.0,no_MP_dielectric_data_default_used,Type II (staggered),-0.07338288925577485,1.404682889255775,1.863511075646202,1.6478553474857562,8044788873071719.0,4.342053439439339,0.424141151914714,8.195900082252983,10611270669.337017,1289602.63837272
Na2Te,inorganic,mp-2784,K6Na3GaSb4,inorganic,mp-6112,2.0287,-1.5587843008869138,True,0.6974,-1.6321671901426886,True,8.0,no_MP_dielectric_data_default_used,Type II (staggered),-0.07338288925577485,1.404682889255775,1.999062159282896,2.5257468094360997,3.591423660650836e+17,2.4414780981171065,0.6341766241047377,66.98097485438399,10266154592.776674,303150.35787450924
Na2Te,inorganic,mp-2784,K6Na3GaSb4,inorganic,mp-6112,2.0287,-1.5587843008869138,True,0.6974,-1.6321671901426886,True,8.0,no_MP_dielectric_data_default_used,Type II (staggered),-0.07338288925577485,1.404682889255775,1.974100712160712,0.6841819709782807,4.793222827111952e+17,1.118016245133783,0.31729024102575015,127.25494337451134,11070823800.43523,259928.97698909027
K5Na(Ti2Se9)3,inorganic,mp-569806,SbF4,inorganic,mp-556425,0.8225000000000002,-1.4705353710327849,True,3.4408000000000003,0.8851260185295207,True,8.0,no_MP_dielectric_data_default_used,Type III (broken gap),2.3556613895623055,-4.973961389562305,2.1753792232360474,2.058249969849213,4.767220303739382e+18,1.1689052643204578,0.4420833297913474,375.93025292268175,10307989711.287748,112851.11401080406
K5Na(Ti2Se9)3,inorganic,mp-569806,SbF4,inorganic,mp-556425,0.8225000000000002,-1.4705353710327849,True,3.4408000000000003,0.8851260185295207,True,8.0,no_MP_dielectric_data_default_used,Type III (broken gap),2.3556613895623055,-4.973961389562305,3.0372394191532486,1.9478519495873987,6.956432017973472e+16,2.673165093002659,0.5380718022765488,27.66575254986087,9587759392.15438,594933.5492291403
