core_material,shell_material,Original_Synthetic_Log_ON_OFF,RF_Reg_Pred,RF_Clf_Pred_Class,KNN_Reg_Pred,SVM_Reg_Pred,GB_Reg_Pred,LogReg_Clf_Pred_Class,Ridge_Reg_Pred,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,Abs_Diff_RF_vs_Original
Ca3(GaN2)2,NaLiTe,1.2632307240074074,-4.363972607593827,0,-4.460998667741868,2.0654735772525448,-3.976444897272863,0,-4.757202922047503,8,1,-1,5.627203331601235
Ca3(GaN2)2,NaLiTe,1.4076276814370106,-4.363972607593827,0,-4.460998667741868,2.065501982667468,-3.976444897272863,0,-4.2245680261716245,8,1,-1,5.771600289030838
Ca3(GaN2)2,NaLiTe,1.299669170367319,-1.320711330519009,0,-1.6436944571940808,2.0655508089798804,-1.062396802106489,0,-3.3977763589487417,8,1,-1,2.620380500886328
Ca3(GaN2)2,NaLiTe,1.4421542987234623,-4.363972607593827,0,-4.460998667741868,2.065415365489952,-3.976444897272863,0,-10.630479448651444,8,1,-1,5.80612690631729
Na2Te,K6Na3GaSb4,0.6824265389127667,-4.305704252327143,0,-4.6825628234472925,2.065817575452277,-3.9764585383964426,0,-8.585953247024667,2,1,-1,4.988130791239909
Na2Te,K6Na3GaSb4,0.9135966551963751,-4.305704252327143,0,-4.6825628234472925,2.0658175753873933,-3.9764585383964426,0,-9.43351708030586,2,1,-1,5.219300907523518
Na2Te,K6Na3GaSb4,1.8259514640578145,-1.2682608757437892,0,-1.9449871221557762,2.0658175756331394,-1.0624283294615542,0,-6.831518707899651,2,1,-1,3.0942123398016035
Na2Te,K6Na3GaSb4,2.1046746620388364,-4.305704252327143,0,-4.682562823447292,2.0658175753380594,-3.9764585383964426,0,-12.289766019819387,2,1,-1,6.410378914365979
K5Na(Ti2Se9)3,SbF4,2.5751072768941836,-4.3401941414520895,0,-4.460998667741868,2.0658175732634527,-3.9736990135435644,0,-3.2526918466169428,7,4,-1,6.915301418346273
K5Na(Ti2Se9)3,SbF4,1.441942488170514,-4.3401941414520895,0,-4.460998667741869,2.0658175732149364,-3.9736990135435644,0,-3.5799025343709094,7,4,-1,5.782136629622603
K5Na(Ti2Se9)3,SbF4,1.1253497489529458,-4.3401941414520895,0,-4.460998667741867,2.0658175733745723,-3.9736990135435644,0,-6.737276960835491,7,4,-1,5.465543890405035
K5Na(Ti2Se9)3,SbF4,1.5676258008699655,-4.3401941414520895,0,-4.460998667741868,2.0658175731468584,-3.9736990135435644,0,-4.519534386978153,7,4,-1,5.907819942322055
Ca2Ti3O8,Na3SbSe3,0.7956723661059507,-4.029384893076763,0,-3.5119475147544468,2.065795050047865,-3.86302067685849,0,-6.132734771520623,1,2,-1,4.825057259182714
Ca2Ti3O8,Na3SbSe3,1.8863837816321725,-4.029384893076763,0,-3.511947514754446,2.065793882532052,-3.86302067685849,0,-7.0245472534396445,1,2,-1,5.915768674708936
Ca2Ti3O8,Na3SbSe3,2.6186204719460915,-4.029384893076763,0,-3.511947514754446,2.0657937457280076,-3.86302067685849,0,-7.170498175968522,1,2,-1,6.648005365022854
Ca2Ti3O8,Na3SbSe3,0.8708170958128172,-4.029384893076763,0,-3.5119475147544463,2.065794528031087,-3.86302067685849,0,-6.481178400020038,1,2,-1,4.90020198888958
Ga2Te2Cl7,Ca3AlAs3,1.1437712655599543,-4.363972607593827,0,-4.840210249127326,2.065817573421001,-3.976444897272863,0,-12.710503771029492,6,3,-1,5.507743873153782
Ga2Te2Cl7,Ca3AlAs3,1.518496024035988,-4.363972607593827,0,-4.840210249127326,2.0658175730974144,-3.976444897272863,0,-8.932169353573375,6,3,-1,5.882468631629815
Ga2Te2Cl7,Ca3AlAs3,0.7473797133670134,-4.363972607593827,0,-4.840210249127326,2.0658175733354436,-3.976444897272863,0,-7.68656518395316,6,3,-1,5.11135232096084
Ga2Te2Cl7,Ca3AlAs3,0.853983949863774,-4.363972607593827,0,-4.840210249127326,2.0658175733467057,-3.976444897272863,0,-12.412516082622158,6,3,-1,5.217956557457601
KTiPSe5,ZnCN2,0.904093373565517,-4.339406976726535,0,-4.460998667741867,2.065817566237559,-3.9736990135435644,0,-7.416752642695796,7,4,-1,5.243500350292051
